year,gdp,gnp,y,xy,sx,sy
2018,2726.32,2733.52,5459.84,11017957.12,4072324,1.21395E+14
2017,2652.55,2443.51,5096.06,10278753.02,4068289,1.05653E+14
2016,2290.43,2244.12,4534.55,9141652.8,4064256,8.35698E+13
2015,2103.59,2096.39,4199.98,8462959.7,4060225,7.16217E+13
2014,2039.13,2021,4060.13,8177101.82,4056196,6.6865E+13
2013,1856.72,1941.12,3797.84,7645051.92,4052169,5.84468E+13
2012,1827.64,1870.99,3698.63,7441643.56,4048144,5.53781E+13
2011,1823.05,1704.43,3527.48,7093762.28,4044121,5.03215E+13
2010,1675.62,1505.74,3181.36,6394533.6,4040100,4.08901E+13
2009,1341.89,1358.35,2700.24,5424782.16,4036081,2.94283E+13
2008,1198.9,1195.03,2393.93,4807011.44,4032064,2.31074E+13
2007,1216.74,1081.97,2298.71,4613510.97,4028049,2.12845E+13
2006,940.26,916.98,1857.24,3725623.44,4024036,1.38803E+13
2005,820.38,809.09,1629.47,3267087.35,4020025,1.06739E+13
2004,709.15,687.28,1396.43,2798445.72,4016016,7.8313E+12
2003,607.7,573.89,1181.59,2366724.77,4012009,5.60139E+12
2002,514.94,500.2,1015.14,2032310.28,4008004,4.13029E+12
2001,485.44,485.44,970.88,1942730.88,4004001,3.7742E+12
2000,468.39,467.08,935.47,1870940,4000000,3.50042E+12
1999,458.82,454.4,913.22,1825526.78,3996001,3.33255E+12
1998,421.35,420.15,841.5,1681317,3992004,2.82683E+12
1997,415.87,409.9,825.77,1649062.69,3988009,2.71941E+12
1996,392.9,395.27,788.17,1573187.32,3984016,2.47492E+12
1995,360.28,354.32,714.6,1425627,3980025,2.03241E+12
1994,327.28,322.75,650.03,1296159.82,3976036,1.68003E+12
1993,279.3,300.63,579.93,1155800.49,3972049,1.33587E+12
1992,288.21,312.51,600.72,1196634.24,3968064,1.43193E+12
1991,270.11,308.58,578.69,1152171.79,3964081,1.3275E+12
1990,320.98,334.59,655.57,1304584.3,3960100,1.70194E+12
1989,296.04,332.77,628.81,1250703.09,3956121,1.56426E+12
1988,296.59,329.15,625.74,1243971.12,3952144,1.54746E+12
1987,279.03,287.58,566.61,1125854.07,3948169,1.26755E+12
1986,248.99,250.41,499.4,991808.4,3944196,9.83684E+11
1985,232.51,229.29,461.8,916673,3940225,8.40289E+11
1984,212.16,215.87,428.03,849211.52,3936256,7.2116E+11
1983,218.26,212.45,430.71,854097.93,3932289,7.29483E+11
1982,200.72,210.37,411.09,814780.38,3928324,6.63867E+11
1981,193.49,210.99,404.48,801274.88,3924361,6.42041E+11
1980,186.33,188.58,374.91,742321.8,3920400,5.51042E+11
1979,152.99,152.45,305.44,604465.76,3916441,3.65379E+11
1978,137.3,138.15,275.45,544840.1,3912484,2.96851E+11
1977,121.49,121.04,242.53,479481.81,3908529,2.29903E+11
1976,102.72,115.09,217.81,430392.56,3904576,1.85238E+11
1975,98.47,118.28,216.75,428081.25,3900625,1.83254E+11
1974,99.53,102.23,201.76,398274.24,3896676,1.58622E+11
1973,85.52,85.74,171.26,337895.98,3892729,1.14174E+11
1972,71.46,71.81,143.27,282528.44,3888784,79822319409
1971,67.35,67.63,134.98,266045.58,3884841,70780250638
1970,62.42,63.88,126.3,248811,3880900,61906913721
1969,58.45,59.17,117.62,231593.78,3876961,53635678935
1968,53.09,53.91,107,210576,3873024,44342251776
1967,50.13,55,105.13,206790.71,3869089,42762397742
1966,45.87,53.93,99.8,196206.8,3865156,38497108366
1965,59.55,55.86,115.41,226780.65,3861225,51429463214
1964,56.48,52.54,109.02,214115.28,3857296,45845353129
1963,48.42,45.73,94.15,184816.45,3853369,34157120191
1962,42.16,41.17,83.33,163493.46,3849444,26730111463
